,0
0,108301.7
1,100366.76
2,98439.12
3,98763.3
4,100833.625
5,98388.984
6,93430.46
7,92946.625
8,91485.52
9,90463.82
10,87411.08
11,81190.4
12,78879.07
13,85790.73
14,93538.54
15,87089.08
16,84839.195
17,92364.27
18,91537.39
19,102997.4
20,100458.234
21,96387.234
22,97727.18
23,94817.18
24,94663.7
25,91241.97
26,86902.9
27,81539.46
28,80827.05
29,78165.08
30,76270.45
31,76957.99
32,77366.03
33,74509.34
34,69761.21
35,67792.53
36,78316.16
37,74556.06
38,76752.836
39,78618.21
40,80628.42
41,73954.5
42,76894.68
43,74767.32
44,85586.234
45,85718.52
46,91152.09
47,99626.57
48,95231.95
49,93548.664
50,93532.23
51,84496.53
52,83557.21
53,88722.51
54,88114.37
55,83274.39
56,85073.05
57,85275.836
58,90304.97
59,94959.234
60,92324.74
61,90717.07
62,86759.82
63,83553.766
64,85690.13
65,82852.5
66,79795.88
67,82496.836
68,80587.89
69,88381.95
70,83614.05
71,82789.68
72,81343.26
73,81047.31
74,77906.72
75,76872.016
76,77372.2
77,77217.27
78,77293.49
79,77370.805
80,75772.766
81,76325.305
82,77121.49
83,77792.53
84,77174.94
85,78156.85
86,74464.56
87,73730.45
88,72427.8
89,78573.93
90,77636.61
91,79815.26
92,76713.76
93,77749.47
94,71501.94
95,68705.44
96,68237.72
97,58852.047
98,58311.727
99,54842.895
100,54281.63
101,60513.996
102,66432.13
103,61315.87
104,65924.805
105,63361.617
106,66513.766
107,62201.36
108,63311.035
109,70540.77
110,68781.69
111,80771.49
112,85618.99
113,72427.6
114,71550.45
115,70680.2
116,69941.336
117,65666.52
118,62343.383
119,60809.113
120,61620.312
121,62436.617
122,61827.754
123,61084.637
124,61961.523
125,63870.72
126,66357.94
127,68511.49
128,65869.26
129,67686.625
130,68196.89
131,67153.24
132,70456.945
133,79590.445
134,87507.6
135,87815.35
136,82785.59
137,77461.0
138,74660.94
139,72123.03
140,71162.17
141,71162.17
142,71644.6
143,71692.26
144,69746.0
145,68051.82
146,67786.93
147,67639.5
148,66642.03
149,66277.27
150,67576.625
151,71647.58
152,73939.07
153,71582.29
154,67826.21
155,69071.82
156,69579.25
157,70342.41
158,70331.85
159,72598.54
160,71513.86
161,73576.64
162,70743.055
163,75660.57
164,75422.45
165,74539.4
166,72155.414
167,70732.71
168,70124.37
169,70112.22
170,74229.74
171,73652.51
172,71607.75
173,70425.35
174,69861.67
175,69233.695
176,68101.016
177,67371.37
178,65462.848
179,64560.83
180,64560.83
181,64560.83
182,62826.27
183,63114.484
184,59989.15
185,56721.973
186,56601.363
187,55963.66
188,54199.2
189,55657.406
190,56237.668
191,56989.965
192,57304.61
193,56492.3
194,55652.41
195,54464.45
196,55788.38
197,56143.883
198,56100.2
199,56278.605
200,57209.867
201,57604.27
202,54201.645
203,51672.223
204,51100.562
205,52776.133
206,51269.473
207,51480.066
208,52311.58
209,53944.84
210,51536.203
211,51284.75
212,50753.01
213,50372.875
214,51256.61
215,49122.176
216,49957.17
217,54600.023
218,53947.918
219,54502.977
220,53719.59
221,52872.465
222,51451.887
